"Name","c_2","num_particles","num_per_layer","num_hidden_layers","c_1","omega","epochs","_wandb","epoch","val_loss","train_loss"
"expert-sweep-73","2","52","16","1","2","0.9","250","null","249","0.12885487725337347","0.13527002781629563"
"balmy-sweep-72","2","52","15","1","2","0.9","250","null","249","0.16345325807730357","0.15915147927072312"
"logical-sweep-71","2","52","14","1","2","0.9","250","null","249","0.12073027392228444","0.12381230890750886"
"warm-sweep-70","2","52","13","1","2","0.9","250","null","249","0.20167334576447804","0.1888155215316349"
"soft-sweep-69","2","52","12","1","2","0.9","250","null","249","0.11047595391670864","0.11683671491013634"
"laced-sweep-68","2","52","11","1","2","0.9","250","null","249","0.11558082352081936","0.10735976149638496"
"tough-sweep-67","2","52","10","1","2","0.9","250","null","249","0.16414227386315663","0.1321748846107059"
"effortless-sweep-66","2","50","20","1","2","0.9","250","null","249","0.18409302830696103","0.19323860671785145"
"avid-sweep-65","2","50","19","1","2","0.9","250","null","249","0.1352928767601649","0.1326756270395385"
"legendary-sweep-64","2","50","18","1","2","0.9","250","null","249","0.177371550599734","0.15000067187680138"
"noble-sweep-63","2","50","17","1","2","0.9","250","null","249","0.21270654499530792","0.19524286753601497"
"lyric-sweep-62","2","50","16","1","2","0.9","250","null","249","0.10036642601092656","0.09902263399627474"
"skilled-sweep-61","2","50","15","1","2","0.9","250","null","249","0.17610302766164143","0.16363009843561385"
"grateful-sweep-60","2","50","14","1","2","0.9","250","null","249","0.1895314832528432","0.1874708632628123"
"splendid-sweep-59","2","50","13","1","2","0.9","250","null","249","0.07341931263605754","0.08767373247279062"
"radiant-sweep-58","2","50","12","1","2","0.9","250","null","249","0.1878136108318965","0.12573293182584974"
"glorious-sweep-57","2","50","11","1","2","0.9","250","null","249","0.13625686665376027","0.11742008030414582"
"glamorous-sweep-56","2","50","10","1","2","0.9","250","null","249","0.12997320691744488","0.12680289927456115"
"rural-sweep-55","2","48","20","1","2","0.9","250","null","249","0.17178080677986146","0.13837109042538537"
"lilac-sweep-54","2","48","19","1","2","0.9","250","null","249","0.14293034871419272","0.12017336090405782"
"electric-sweep-53","2","48","18","1","2","0.9","250","null","249","0.12357814013957975","0.11982080224487517"
"splendid-sweep-52","2","48","17","1","2","0.9","250","null","249","0.19954230785369872","0.16310914953549702"
"fancy-sweep-51","2","48","16","1","2","0.9","250","null","249","0.12648441890875498","0.1004485747880406"
"rich-sweep-50","2","48","15","1","2","0.9","250","null","249","0.17846068739891052","0.17576863169670104"
"earthy-sweep-49","2","48","14","1","2","0.9","250","null","249","0.14333171844482423","0.1470036248366038"
"celestial-sweep-48","2","48","13","1","2","0.9","250","null","249","0.117645525932312","0.10880608840121164"
"grateful-sweep-47","2","48","12","1","2","0.9","250","null","249","0.1317318061987559","0.1418983605172899"
"devout-sweep-46","2","48","11","1","2","0.9","250","null","249","0.08303361882766087","0.07873636335134507"
"cerulean-sweep-45","2","48","10","1","2","0.9","250","null","249","0.15352576275666557","0.11557361119323306"
"drawn-sweep-44","2","46","20","1","2","0.9","250","null","249","0.11978952785332998","0.1380376602212588"
"fine-sweep-43","2","46","19","1","2","0.9","250","null","249","0.14170029759407043","0.15020243922869364"
"proud-sweep-42","2","46","18","1","2","0.9","250","null","249","0.15935922463734944","0.14684508674674565"
"sparkling-sweep-41","2","46","17","1","2","0.9","250","null","249","0.1547140896320343","0.16403482622570462"
"copper-sweep-40","2","46","16","1","2","0.9","250","null","249","0.20188645621140797","0.1589816391468048"
"stilted-sweep-39","2","46","15","1","2","0.9","250","null","249","0.1453720619281133","0.1682867642905977"
"efficient-sweep-38","2","46","14","1","2","0.9","250","null","249","0.18127349118391672","0.16317107809914483"
"leafy-sweep-37","2","46","13","1","2","0.9","250","null","249","0.1429941306511561","0.14326335754659442"
"pretty-sweep-36","2","46","12","1","2","0.9","250","null","249","0.14939036866029104","0.1398403611448076"
"ethereal-sweep-35","2","46","11","1","2","0.9","250","null","249","0.12115729947884878","0.116399866508113"
"bright-sweep-34","2","46","10","1","2","0.9","250","null","249","0.265773610273997","0.187831848859787"
"genial-sweep-33","2","44","20","1","2","0.9","250","null","249","0.11377061903476716","0.12109501428074308"
"valiant-sweep-32","2","44","19","1","2","0.9","250","null","249","0.14382714529832205","0.15217331995566685"
"drawn-sweep-31","2","44","18","1","2","0.9","250","null","249","0.1508695214986801","0.155557472176022"
"frosty-sweep-30","2","44","17","1","2","0.9","250","null","249","0.15225821137428283","0.15143630107243855"
"sage-sweep-29","2","44","16","1","2","0.9","250","null","249","0.1263581464687983","0.11720881015062332"
"vivid-sweep-28","2","44","15","1","2","0.9","250","null","249","0.11684764325618743","0.11961958491139942"
"cerulean-sweep-27","2","44","14","1","2","0.9","250","null","249","0.14591837028662363","0.1501324728131294"
"zany-sweep-26","2","44","13","1","2","0.9","250","null","249","0.1463502655426661","0.13012373612986672"
"bright-sweep-25","2","44","12","1","2","0.9","250","null","249","0.17922360201676688","0.1467829879787233"
"icy-sweep-24","2","44","11","1","2","0.9","250","null","249","0.14079391260941823","0.1507507281170951"
"noble-sweep-23","2","44","10","1","2","0.9","250","null","249","0.10532206694285076","0.0997811958193779"
"scarlet-sweep-22","2","42","20","1","2","0.9","250","null","249","0.15906061132748922","0.12689379271533754"
"dark-sweep-21","2","42","19","1","2","0.9","250","null","249","0.1671845277150472","0.11551882359716628"
"eternal-sweep-20","2","42","18","1","2","0.9","250","null","249","0.22666342159112293","0.20993587805165184"
"upbeat-sweep-19","2","42","17","1","2","0.9","250","null","249","0.11236669222513834","0.1204287482632531"
"absurd-sweep-18","2","42","16","1","2","0.9","250","null","249","0.14081836541493734","0.13129630006021922"
"deft-sweep-17","2","42","15","1","2","0.9","250","null","249","0.14261228342851004","0.1393676009443071"
"rich-sweep-16","2","42","14","1","2","0.9","250","null","249","0.1423128386338552","0.14217323793305292"
"stilted-sweep-15","2","42","13","1","2","0.9","250","null","249","0.12475478947162628","0.1314874682161543"
"youthful-sweep-14","2","42","12","1","2","0.9","250","null","249","0.12779590984185538","0.11572994424237146"
"stellar-sweep-13","2","42","11","1","2","0.9","250","null","249","0.12004224757353464","0.13464959214131036"
"brisk-sweep-12","2","42","10","1","2","0.9","250","null","249","0.1603144218524297","0.11332670946915945"
"wise-sweep-11","2","40","20","1","2","0.9","250","null","249","0.15553675194581348","0.1539386885033713"
"stoic-sweep-10","2","40","19","1","2","0.9","250","null","249","0.15843312740325927","0.13938161465856763"
"divine-sweep-9","2","40","18","1","2","0.9","250","null","249","0.206325364112854","0.19512422415945263"
"gallant-sweep-8","2","40","17","1","2","0.9","250","null","249","0.1345993330081304","0.1382437917921278"
"prime-sweep-7","2","40","16","1","2","0.9","250","null","249","0.2056662251551946","0.1867077446646161"
"faithful-sweep-6","2","40","15","1","2","0.9","250","null","249","0.15247940917809805","0.12654882089959252"
"expert-sweep-5","2","40","14","1","2","0.9","250","null","249","0.1278126855691274","0.1250966997610198"
"wise-sweep-4","2","40","13","1","2","0.9","250","null","249","0.15224649210770924","0.18219037916925215"
"happy-sweep-3","2","40","12","1","2","0.9","250","null","249","0.1221108188231786","0.13706400692462922"
"polar-sweep-2","2","40","11","1","2","0.9","250","null","249","0.14800281325976053","0.15059945914480422"
"vital-sweep-1","2","40","10","1","2","0.9","250","null","249","0.14447501401106516","0.14294666813479528"
