"Name","c_2","num_hidden_layers","c_1","omega","epochs","num_particles","num_per_layer","_wandb","epoch","val_loss","train_loss"
"ethereal-sweep-596","2","1","2","0.35","250","96","10","null","249","0.0661896750330925","0.05849447614616818"
"smart-sweep-595","2","1","2","0.3","250","96","10","null","249","0.1560378283262253","0.10175902230872048"
"fallen-sweep-594","2","1","2","0.25","250","96","10","null","249","0.11837885429461796","0.1255145036511951"
"lunar-sweep-593","2","1","2","0.2","250","96","10","null","249","0.1216959536075592","0.1022955674264166"
"dry-sweep-592","2","1","2","0.15","250","96","10","null","249","0.14966828525066375","0.1270565504829089"
"soft-sweep-591","2","1","2","0.1","250","96","10","null","249","0.17349235912164052","0.11673940469821294"
"cool-sweep-590","2","1","2","0.05","250","96","10","null","249","0.14239387412865956","0.09539909263451894"
"celestial-sweep-589","2","1","2","0","250","96","10","null","249","0.1053365225593249","0.08391527252064811"
"legendary-sweep-588","2","1","2","1","250","94","10","null","249","0.14359599153200786","0.1530742198228836"
"celestial-sweep-587","2","1","2","0.95","250","94","10","null","249","0.16134026944637295","0.10983330044481487"
"good-sweep-586","2","1","2","0.9","250","94","10","null","249","0.17336597740650178","0.12917081084516313"
"olive-sweep-585","2","1","2","0.85","250","94","10","null","249","0.07142662654320399","0.06421746694379382"
"visionary-sweep-584","2","1","2","0.8","250","94","10","null","249","0.09964750160773596","0.08091572837697135"
"fearless-sweep-583","2","1","2","0.75","250","94","10","null","249","0.10224063446124394","0.08810940417978498"
"desert-sweep-582","2","1","2","0.7","250","94","10","null","249","0.09995740254720052","0.07234606759415732"
"scarlet-sweep-581","2","1","2","0.65","250","94","10","null","249","0.0698943222562472","0.043651011089483896"
"floral-sweep-580","2","1","2","0.6","250","94","10","null","249","0.06756621897220612","0.05266525306635433"
"upbeat-sweep-579","2","1","2","0.55","250","94","10","null","249","0.07444194157918295","0.06100573961933454"
"autumn-sweep-578","2","1","2","0.5","250","94","10","null","249","0.09726380159457523","0.07484966450267368"
"wandering-sweep-577","2","1","2","0.45","250","94","10","null","249","0.0850668062766393","0.06676812089151807"
"usual-sweep-576","2","1","2","0.4","250","94","10","null","249","0.1288898875315984","0.09406965490844514"
"olive-sweep-575","2","1","2","0.35","250","94","10","null","249","0.10555818180243176","0.07948341800106896"
"resilient-sweep-574","2","1","2","0.3","250","94","10","null","249","0.0779950221379598","0.05332577808035745"
"distinctive-sweep-573","2","1","2","0.25","250","94","10","null","249","0.10893552054961522","0.08511416216691335"
"expert-sweep-572","2","1","2","0.2","250","94","10","null","249","0.10754558344682058","0.07605693423085742"
"dainty-sweep-571","2","1","2","0.15","250","94","10","null","249","0.11400586465994517","0.09122775180472267"
"absurd-sweep-570","2","1","2","0.1","250","94","10","null","249","0.1182610755165418","0.1283216127090984"
"drawn-sweep-569","2","1","2","0.05","250","94","10","null","249","0.11727724969387054","0.12044000724951426"
"glad-sweep-568","2","1","2","0","250","94","10","null","249","0.1520413190126419","0.16912166641818152"
"misunderstood-sweep-567","2","1","2","1","250","92","10","null","249","0.18989576001962025","0.15339258246951634"
"fluent-sweep-566","2","1","2","0.95","250","92","10","null","249","0.15115984280904135","0.1562835994693968"
"stellar-sweep-565","2","1","2","0.9","250","92","10","null","249","0.0997866248091062","0.10128257837560442"
"legendary-sweep-564","2","1","2","0.85","250","92","10","null","249","0.06487672279278438","0.05747879213756985"
"pleasant-sweep-563","2","1","2","0.8","250","92","10","null","249","0.08542464325825373","0.0662609289917681"
"rosy-sweep-562","2","1","2","0.75","250","92","10","null","249","0.07481194982926051","0.0636841669678688"
"vague-sweep-561","2","1","2","0.7","250","92","10","null","249","0.032637011756499607","0.03208808410498831"
"helpful-sweep-560","2","1","2","0.65","250","92","10","null","249","0.08920768747727076","0.06457370941837628"
"misty-sweep-559","2","1","2","0.6","250","92","10","null","249","0.10199302385250728","0.0730298466152615"
"dashing-sweep-558","2","1","2","0.55","250","92","10","null","249","0.0781498298048973","0.06506901838713222"
"different-sweep-557","2","1","2","0.5","250","92","10","null","249","0.07467118253310522","0.05533875011735492"
"logical-sweep-556","2","1","2","0.45","250","92","10","null","249","0.06956998904546102","0.05561798264582952"
"northern-sweep-555","2","1","2","0.4","250","92","10","null","249","0.04891202549139659","0.032532561363445386"
"distinctive-sweep-554","2","1","2","0.35","250","92","10","null","249","0.08851048698027929","0.07463874792059262"
"soft-sweep-553","2","1","2","0.3","250","92","10","null","249","0.10094628830750783","0.09344513614972431"
"vivid-sweep-552","2","1","2","0.25","250","92","10","null","249","0.12774781386057535","0.11627268691857656"
"curious-sweep-551","2","1","2","0.2","250","92","10","null","249","0.10440182586510977","0.08920080049170388"
"celestial-sweep-550","2","1","2","0.15","250","92","10","null","249","0.15195159713427225","0.1281663333376249"
"ethereal-sweep-549","2","1","2","0.1","250","92","10","null","249","0.15530462364355724","0.132329776055283"
"comfy-sweep-548","2","1","2","0.05","250","92","10","null","249","0.1501755654811859","0.13817309869660271"
"glowing-sweep-547","2","1","2","0","250","92","10","null","249","0.12219482362270356","0.15380051963859134"
"earnest-sweep-546","2","1","2","1","250","90","10","null","249","0.16765802105267844","0.13760598864820267"
"fine-sweep-545","2","1","2","0.95","250","90","10","null","249","0.17885502477486928","0.13884543246693082"
"rare-sweep-544","2","1","2","0.9","250","90","10","null","249","0.0891525814930598","0.07283613002962536"
"royal-sweep-543","2","1","2","0.85","250","90","10","null","249","0.09679838567972184","0.07478424426582124"
"blooming-sweep-542","2","1","2","0.8","250","90","10","null","249","0.04938000713785489","0.051712387303511305"
"vital-sweep-541","2","1","2","0.75","250","90","10","null","249","0.05697341909011205","0.0414377260953188"
"amber-sweep-540","2","1","2","0.7","250","90","10","null","249","0.05194773723681768","0.03625219919615322"
"scarlet-sweep-539","2","1","2","0.65","250","90","10","null","249","0.05902466277281443","0.04245099781288041"
"crimson-sweep-538","2","1","2","0.6","250","90","10","null","249","0.0960101678967476","0.05586972849236594"
"icy-sweep-537","2","1","2","0.55","250","90","10","null","249","0.07143916338682174","0.04953552194767528"
"happy-sweep-536","2","1","2","0.5","250","90","10","null","249","0.0819294532140096","0.06552760038110945"
"copper-sweep-535","2","1","2","0.45","250","90","10","null","249","0.06138176470994949","0.05945140603515837"
"charmed-sweep-534","2","1","2","0.4","250","90","10","null","249","0.07192680289347966","0.06904602928294076"
"glowing-sweep-533","2","1","2","0.35","250","90","10","null","249","0.11715002159277596","0.08115880009200838"
"usual-sweep-532","2","1","2","0.3","250","90","10","null","249","0.0992134854197502","0.0941987352238761"
"blooming-sweep-531","2","1","2","0.25","250","90","10","null","249","0.11209015101194382","0.12029719783200156"
"generous-sweep-530","2","1","2","0.2","250","90","10","null","249","0.12634677588939666","0.12103799117936027"
"splendid-sweep-529","2","1","2","0.15","250","90","10","null","249","0.1743258575598399","0.13044042587280277"
"vague-sweep-528","2","1","2","0.1","250","90","10","null","249","0.1944031039873759","0.13980331321557363"
"jolly-sweep-527","2","1","2","0.05","250","90","10","null","249","0.18525681098302205","0.15417535106341043"
"lively-sweep-526","2","1","2","0","250","90","10","null","249","0.1570623815059662","0.15082783235443964"
"youthful-sweep-525","2","1","2","1","250","88","10","null","249","0.1408614844083786","0.167679430047671"
"misty-sweep-524","2","1","2","0.95","250","88","10","null","249","0.15739395320415497","0.1403608891699049"
"smart-sweep-523","2","1","2","0.9","250","88","10","null","249","0.10036560396353404","0.10772592971722283"
"bright-sweep-522","2","1","2","0.85","250","88","10","null","249","0.06050871660312017","0.056116210586494866"
"super-sweep-521","2","1","2","0.8","250","88","10","null","249","0.04060937985777855","0.032977147690123984"
"crisp-sweep-520","2","1","2","0.75","250","88","10","null","249","0.06791736682256062","0.030719147622585295"
"polar-sweep-519","2","1","2","0.7","250","88","10","null","249","0.07075026879707973","0.04035794217553404"
"glamorous-sweep-518","2","1","2","0.65","250","88","10","null","249","0.06863507280747096","0.04988223628865348"
"crisp-sweep-517","2","1","2","0.6","250","88","10","null","249","0.06925541311502456","0.04346013342340787"
"elated-sweep-516","2","1","2","0.55","250","88","10","null","249","0.06678361048301061","0.05797588311963611"
"charmed-sweep-515","2","1","2","0.5","250","88","10","null","249","0.06637825469175974","0.0520632926788595"
"bumbling-sweep-514","2","1","2","0.45","250","88","10","null","249","0.11978157013654708","0.08745762142870162"
"wise-sweep-513","2","1","2","0.4","250","88","10","null","249","0.13294990956783295","0.0995461834801568"
"misty-sweep-512","2","1","2","0.35","250","88","10","null","249","0.13359907368818918","0.11117234941985872"
"misty-sweep-511","2","1","2","0.3","250","88","10","null","249","0.14592489302158357","0.12601982123321956"
"sleek-sweep-510","2","1","2","0.25","250","88","10","null","249","0.09087035357952118","0.07580193099048403"
"eager-sweep-509","2","1","2","0.2","250","88","10","null","249","0.10686687578757605","0.08662455512417687"
"genial-sweep-508","2","1","2","0.15","250","88","10","null","249","0.09555636992057163","0.07933989059593942"
"devout-sweep-507","2","1","2","0.1","250","88","10","null","249","0.12587796201308568","0.10022335284286076"
"lyric-sweep-506","2","1","2","0.05","250","88","10","null","249","0.13405496577421824","0.11436226500405204"
"lyric-sweep-505","2","1","2","0","250","88","10","null","249","0.15468324720859528","0.11157593992021347"
"classic-sweep-504","2","1","2","1","250","86","10","null","249","0.2018929660320282","0.14622831973764633"
"super-sweep-503","2","1","2","0.95","250","86","10","null","249","0.17916433314482372","0.1605656451649136"
"devout-sweep-502","2","1","2","0.9","250","86","10","null","249","0.1695430099964142","0.15573209159904056"
"fresh-sweep-501","2","1","2","0.85","250","86","10","null","249","0.10634130239486694","0.07114209019475513"
"dry-sweep-500","2","1","2","0.8","250","86","10","null","249","0.06533328543106715","0.05700427210993237"
"soft-sweep-499","2","1","2","0.75","250","86","10","null","249","0.08606433818737666","0.04830536022782326"
"leafy-sweep-498","2","1","2","0.7","250","86","10","null","249","0.09866040696700414","0.06731309865911801"
"icy-sweep-497","2","1","2","0.65","250","86","10","null","249","0.0637399231394132","0.045388252122534646"
"glorious-sweep-496","2","1","2","0.6","250","86","10","null","249","0.0943687841296196","0.05811429967482885"
"faithful-sweep-495","2","1","2","0.55","250","86","10","null","249","0.060756125549475355","0.044361569359898566"
"different-sweep-494","2","1","2","0.5","250","86","10","null","249","0.09236412048339844","0.0631734994550546"
"icy-sweep-493","2","1","2","0.45","250","86","10","null","249","0.12816708187262218","0.0874460455444124"
"misunderstood-sweep-492","2","1","2","0.4","250","86","10","null","249","0.10799597452084224","0.09553486737940046"
"swept-sweep-491","2","1","2","0.35","250","86","10","null","249","0.11689522167046865","0.09244778951009117"
"sweet-sweep-490","2","1","2","0.3","250","86","10","null","249","0.1235691487789154","0.11290672057204776"
