"Name","c_1","num_particles","num_hidden_layers","c_2","omega","epochs","num_per_layer","_wandb","epoch","val_loss","train_loss"
"earnest-sweep-299","2","99","3","2","0.9","250","10","null","249","0.14466716349124908","0.1145127112666766"
"icy-sweep-298","2","98","3","2","0.9","250","10","null","249","0.19432158768177032","0.17555833061536152"
"logical-sweep-297","2","97","3","2","0.9","250","10","null","249","0.10375416974226634","0.10655210498306486"
"whole-sweep-296","2","96","3","2","0.9","250","10","null","249","0.1332046578327815","0.13328887538777456"
"smart-sweep-295","2","95","3","2","0.9","250","10","null","249","0.1748752514521281","0.1569355242782169"
"stoic-sweep-294","2","94","3","2","0.9","250","10","null","249","0.16692355771859488","0.17979337043232388"
"sandy-sweep-293","2","93","3","2","0.9","250","10","null","249","0.1642593612273534","0.156977935300933"
"absurd-sweep-292","2","92","3","2","0.9","250","10","null","249","0.15318610668182372","0.13921133544709946"
"dutiful-sweep-291","2","91","3","2","0.9","250","10","null","249","0.16816045542558034","0.1393047637409634"
"young-sweep-290","2","90","3","2","0.9","250","10","null","249","0.13759750326474507","0.12502901918358272"
"deep-sweep-289","2","89","3","2","0.9","250","10","null","249","0.1898255914449692","0.18723430666658616"
"bumbling-sweep-288","2","88","3","2","0.9","250","10","null","249","0.21745856801668803","0.1962971137629615"
"curious-sweep-287","2","87","3","2","0.9","250","10","null","249","0.1526145135362943","0.1385573191775216"
"young-sweep-286","2","86","3","2","0.9","250","10","null","249","0.15792344411214193","0.1542211797502306"
"lemon-sweep-285","2","85","3","2","0.9","250","10","null","249","0.1247571662068367","0.14309592445691427"
"polar-sweep-284","2","84","3","2","0.9","250","10","null","249","0.1891478071610133","0.1883036434650421"
"volcanic-sweep-283","2","83","3","2","0.9","250","10","null","249","0.14844671587149302","0.14675353467464447"
"hearty-sweep-282","2","82","3","2","0.9","250","10","null","249","0.13238372107346852","0.13308344930410385"
"glowing-sweep-281","2","81","3","2","0.9","250","10","null","249","0.18212994237740832","0.17184492548306782"
"dry-sweep-280","2","80","3","2","0.9","250","10","null","249","0.18203297555446624","0.14660487208101486"
"robust-sweep-279","2","79","3","2","0.9","250","10","null","249","0.14663412670294443","0.14174197647306655"
"wandering-sweep-278","2","78","3","2","0.9","250","10","null","249","0.1930814524491628","0.1283456664946344"
"cool-sweep-277","2","77","3","2","0.9","250","10","null","249","0.1943471093972524","0.1801615681913164"
"crimson-sweep-276","2","76","3","2","0.9","250","10","null","249","0.20374069213867188","0.1648371977938546"
"effortless-sweep-275","2","75","3","2","0.9","250","10","null","249","0.1562433550755183","0.15701256758636897"
"pious-sweep-274","2","74","3","2","0.9","250","10","null","249","0.15962507724761962","0.1493991365035375"
"helpful-sweep-273","2","73","3","2","0.9","250","10","null","249","0.12785671154658","0.13910003668732113"
"deft-sweep-272","2","72","3","2","0.9","250","10","null","249","0.1456547727187475","0.13986067639456856"
"fresh-sweep-271","2","71","3","2","0.9","250","10","null","249","0.19871427218119303","0.17747954858673942"
"stoic-sweep-270","2","70","3","2","0.9","250","10","null","249","0.22281651298205055","0.20186423030164508"
"sweet-sweep-269","2","69","3","2","0.9","250","10","null","249","0.12937008043130238","0.12144504636526109"
"absurd-sweep-268","2","68","3","2","0.9","250","10","null","249","0.1747853269179662","0.16544649932119582"
"morning-sweep-267","2","67","3","2","0.9","250","10","null","249","0.15112758974234264","0.17649900648328992"
"pleasant-sweep-266","2","66","3","2","0.9","250","10","null","249","0.1691332846879959","0.16163871155844797"
"zesty-sweep-265","2","65","3","2","0.9","250","10","null","249","0.13731878697872163","0.14472901887363857"
"major-sweep-264","2","64","3","2","0.9","250","10","null","249","0.14570294320583344","0.14908353818787468"
"upbeat-sweep-263","2","63","3","2","0.9","250","10","null","249","0.1734802375237147","0.15982895261711544"
"spring-sweep-262","2","62","3","2","0.9","250","10","null","249","0.2236068238814672","0.2100255896647771"
"fearless-sweep-261","2","61","3","2","0.9","250","10","null","249","0.18702063361803692","0.1884849650992287"
"giddy-sweep-260","2","60","3","2","0.9","250","10","null","249","0.1561456988255183","0.14582597083515592"
"bright-sweep-259","2","59","3","2","0.9","250","10","null","249","0.1625384956598282","0.1621220052242279"
"avid-sweep-258","2","58","3","2","0.9","250","10","null","249","0.12137867510318756","0.12684851818614537"
"expert-sweep-257","2","57","3","2","0.9","250","10","null","249","0.1984469304482142","0.19859322607517244"
"swept-sweep-256","2","56","3","2","0.9","250","10","null","249","0.18649780849615732","0.1780949850877126"
"flowing-sweep-255","2","55","3","2","0.9","250","10","null","249","0.23585187594095863","0.20531180600325263"
"quiet-sweep-254","2","54","3","2","0.9","250","10","null","249","0.18395421504974369","0.17318397561709087"
"still-sweep-253","2","53","3","2","0.9","250","10","null","249","0.18688126901785532","0.1937978016005622"
"twilight-sweep-252","2","52","3","2","0.9","250","10","null","249","0.1929461807012558","0.1854528738392724"
"twilight-sweep-251","2","51","3","2","0.9","250","10","null","249","0.17003686130046844","0.17869771321614583"
"iconic-sweep-250","2","50","3","2","0.9","250","10","null","249","0.20175517896811168","0.20030029548539055"
"laced-sweep-249","2","49","3","2","0.9","250","10","null","249","0.19340550204118093","0.183327536450492"
"smart-sweep-248","2","48","3","2","0.9","250","10","null","249","0.20191254715124765","0.1992451700899336"
"volcanic-sweep-247","2","47","3","2","0.9","250","10","null","249","0.14176373581091564","0.13174309250381258"
"generous-sweep-246","2","46","3","2","0.9","250","10","null","249","0.15842060446739198","0.14490319159295822"
"dashing-sweep-245","2","45","3","2","0.9","250","10","null","249","0.14587059020996093","0.1721158097187678"
"youthful-sweep-244","2","44","3","2","0.9","250","10","null","249","0.18077604870001476","0.18974157240655687"
"confused-sweep-243","2","43","3","2","0.9","250","10","null","249","0.1978695293267568","0.18179754349920485"
"worldly-sweep-242","2","42","3","2","0.9","250","10","null","249","0.17920936246713","0.16374028424421946"
"icy-sweep-241","2","41","3","2","0.9","250","10","null","249","0.2162449846665065","0.20998007092210985"
"stoic-sweep-240","2","40","3","2","0.9","250","10","null","249","0.17859141230583192","0.17375061876244016"
"fluent-sweep-239","2","39","3","2","0.9","250","10","null","249","0.22936877210934956","0.1994286057021883"
"elated-sweep-238","2","38","3","2","0.9","250","10","null","249","0.19425352911154428","0.18706177671750387"
"rich-sweep-237","2","37","3","2","0.9","250","10","null","249","0.1576221615076065","0.17044865886370342"
"resilient-sweep-236","2","36","3","2","0.9","250","10","null","249","0.24561041394869487","0.217556255724695"
"smooth-sweep-235","2","35","3","2","0.9","250","10","null","249","0.1713067134221395","0.1694839123222563"
"crisp-sweep-234","2","34","3","2","0.9","250","10","null","249","0.11882266203562418","0.12535706145895853"
"different-sweep-233","2","33","3","2","0.9","250","10","null","249","0.18095909555753073","0.18461674650510151"
"dutiful-sweep-232","2","32","3","2","0.9","250","10","null","249","0.21176474392414096","0.21765752269162073"
"firm-sweep-231","2","31","3","2","0.9","250","10","null","249","0.19523732364177704","0.19745495021343232"
"summer-sweep-230","2","30","3","2","0.9","250","10","null","249","0.21393118500709535","0.18939017289214663"
"scarlet-sweep-229","2","29","3","2","0.9","250","10","null","249","0.1443895936012268","0.16784297525882722"
"generous-sweep-228","2","28","3","2","0.9","250","10","null","249","0.22313544154167175","0.23728780183527204"
"fresh-sweep-227","2","27","3","2","0.9","250","10","null","249","0.2091205457846324","0.2340920451614592"
"daily-sweep-226","2","26","3","2","0.9","250","10","null","249","0.30613871812820437","0.2311939411693149"
