"Name","omega","num_per_layer","c_1","epochs","num_particles","num_hidden_layers","c_2","_wandb","epoch","val_loss","train_loss"
"balmy-sweep-176","0.35","18","2","250","50","1","2","null","249","0.11633628110090892","0.10925154636303584"
"happy-sweep-175","0.3","18","2","250","50","1","2","null","249","0.0968480442961057","0.09286430842346616"
"dashing-sweep-174","0.25","18","2","250","50","1","2","null","249","0.10802799512942632","0.10278976990116968"
"noble-sweep-173","0.2","18","2","250","50","1","2","null","249","0.1289081633090973","0.12218764391210345"
"morning-sweep-172","0.15","18","2","250","50","1","2","null","249","0.1435247798760732","0.14363032314512464"
"dainty-sweep-171","0.1","18","2","250","50","1","2","null","249","0.14391606946786245","0.1391898704899682"
"smooth-sweep-170","0.05","18","2","250","50","1","2","null","249","0.15747018456459044","0.16963766482141282"
"fresh-sweep-169","0","18","2","250","50","1","2","null","249","0.14009921848773957","0.14731438755989074"
"smart-sweep-168","1","17","2","250","50","1","2","null","249","0.28238970041275024","0.2571805755297343"
"genial-sweep-167","0.95","17","null","null","null","null","null","null","null","null","null"
"devout-sweep-166","0.9","17","null","null","null","null","null","null","null","null","null"
"toasty-sweep-165","0.85","17","2","250","50","1","2","null","249","0.15050103664398193","0.13891800691684086"
"twilight-sweep-163","0.75","17","2","250","50","1","2","null","249","0.15385128756364186","0.10821476810508304"
"crisp-sweep-164","0.8","17","2","250","50","1","2","null","249","0.09928332169850668","0.08225471311145359"
"logical-sweep-162","0.7","17","2","250","50","1","2","null","249","0.07576515227556228","0.06697408498989212"
"sandy-sweep-161","0.65","17","2","250","50","1","2","null","249","0.07480102082093557","0.05646052782734235"
"proud-sweep-160","0.6","17","2","250","50","1","2","null","249","0.07814889997243882","0.07909575733873579"
"pious-sweep-159","0.55","17","2","250","50","1","2","null","249","0.09826727708180744","0.08557133144802517"
"desert-sweep-158","0.5","17","null","null","null","null","null","null","null","null","null"
"tough-sweep-157","0.45","17","null","null","null","null","null","null","null","null","null"
"zany-sweep-156","0.4","17","null","null","null","null","null","null","null","null","null"
"iconic-sweep-155","0.35","17","null","null","null","null","null","null","null","null","null"
"confused-sweep-154","0.3","17","null","null","null","null","null","null","null","null","null"
"young-sweep-153","0.25","17","null","null","null","null","null","null","null","null","null"
"true-sweep-152","0.2","17","2","250","50","1","2","null","249","0.1253604620695114","0.1212083250284195"
"snowy-sweep-151","0.15","17","null","null","null","null","null","null","null","null","null"
"serene-sweep-150","0.1","17","null","null","null","null","null","null","null","null","null"
"lyric-sweep-149","0.05","17","2","250","50","1","2","null","249","0.2133810927470525","0.17610888481140136"
